Date,Index Return
January 2018,0.0218
February 2018,-0.045
March 2018,-0.0378
April 2018,0.0655999999999999
May 2018,-0.0191
June 2018,-0.0163999999999999
July 2018,0.0533
August 2018,0.0354
September 2018,-0.0877
October 2018,-0.0398
November 2018,0.0406
December 2018,0.0067
January 2019,-0.0181
February 2019,-0.0053
March 2019,0.079
April 2019,0.0001
May 2019,0.0146
June 2019,-0.015
July 2019,-0.0635
August 2019,-0.0075
September 2019,0.0405
October 2019,0.0373
November 2019,0.0128
December 2019,0.006
January 2020,-0.0011
February 2020,-0.0634
March 2020,-0.2425
April 2020,0.1452
May 2020,-0.0237999999999999
June 2020,0.0834
July 2020,0.0662
August 2020,0.0372
September 2020,-0.0032
October 2020,0.0256999999999999
November 2020,0.1186999999999999
December 2020,0.0746
January 2021,-0.0187
February 2021,0.0778
March 2021,0.0109
April 2021,0.0040999999999999
May 2021,0.0697
June 2021,0.0187
July 2021,0.0141999999999999
August 2021,0.0653
September 2021,0.0341
October 2021,-0.0026
