Manager ID,Manager Name
2,2POINT2 CAPITAL ADVISORS LLP
3,2POINT2 CAPITAL ADVISORS LLP
4,4A SECURITIES
5,A C CHOKSI SHARE BROKERS PRIVATE LIMITED
6,A C Choksi Share Brokers Private Limited
7,A. K. WEALTH MANAGEMENT PRIVATE LIMITED
8,A. K. Wealth Management Private Limited
9,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED
10,Aarohan Holdings and Advisors Private Limited
11,Abakkus Asset Manager LLP
12,ABANS BROKING SERVICES PRIVATE LIMITED
13,ABCHLOR INVESTMENT ADVISORS PRIVATE LIMITED
14,Abchlor Investment Advisors Private Limited
15,ABN AMRO ASSET MANAGEMENT (I) LTD.
16,ABN AMRO BANK N.V.
17,ABN AMRO BANK N.V.
18,ACCURACAP CONSULTANCY SERVICES PRIVATE LIMITED
19,Accuracap Consultancy Services Private Limited
20,ACEPRO ADVISORS PRIVATE LIMITED
21,Acepro Advisors Private Limited
22,ACHINTYA SECURITIES PRIVATE LIMITED
23,Action Financial Services (India) Ltd.
24,Acumen Capital Market (India) Limited
25,Ada Sustainable Investment Services Private Limited
26,ADITYA BIRLA MONEY LIMITED
27,ADITYA BIRLA MONEY LIMITED
28,ADROIT FINANCIAL SERVICES PRIVATE LIMITED
29,Adroit Financial Services Private Limited
30,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED
31,Aequitas Investment Consultancy Private Limited
32,Agreya Capital Advisors LLP
33,AIG Global Asset Management Company (India) Pvt. Ltd.
34,AJMERA ASSOCIATES LIMITED
35,ALANKIT ASSIGNMENTS LTD.
36,ALANKIT ASSIGNMENTS LTD.
37,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD
38,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD
39,ALDER CAPITAL ADVISORS LLP
40,Alder Capital Advisors LLP
41,ALFACCURATE ADVISORS PVT. LTD.
42,AlfAccurate Advisors Pvt. Ltd.
43,ALLEGRO CAPITAL ADVISORS PVT LTD
44,ALLEGRO CAPITAL ADVISORS PVT LTD
45,ALLIANCE FUNDSS MGT.LTD
46,ALMONDZ GLOBAL SECURITIES LIMITED
47,ALPHA ALTERNATIVES FUND ADVISORS LLP
48,ALPHA CAPITAL ADVISORS PVT. LTD.
49,Alpha Capital Advisors Pvt. Ltd.
50,ALTITUDE CAPITAL ADVISORS PRIVATE LIMITED
51,ALTITUDE CAPITAL ADVISORS PRIVATE LIMITED
52,AMBIT CAPITAL PRIVATE LTD
53,AMBIT CAPITAL PRIVATE LTD
54,AMBIT INVESTMENT ADVISORS PRIVATE LIMITED
55,Ambit Investment Advisors Private Limited
56,AMIDEEP WEALTH MANAGEMENT PVT LTD
57,AMIT JASANI FINANCIAL SERVICES PVT LTD
58,AMIT JASANI FINANCIAL SERVICES PVT LTD.
59,AMJ STOCK BROKERS PRIVATE LIMITED
60,Amrapali Aadya Trading and Investment Pvt. Ltd.
61,AMTIGER CONSULTANTS PRIVATE LIMITED
62,ANAGRAM STOCKBROKING LIMITED
63,ANAND RATHI ADVISORS LIMITED
64,ANAND RATHI ADVISORS LIMITED
65,ANGEL BROKING LTD.
66,ANGEL BROKING LTD.
67,ANIVED PORTFOLIO MANAGERS PVT. LTD.
68,Anived Portfolio Managers Pvt. Ltd.
69,ANMOL FINSEC LIMITED
70,ANTIQUE STOCK BROKING LIMITED
71,ANTIQUE STOCK BROKING LTD
72,ANUGRAH STOCK & BROKING PVT. LTD
73,ANVIL WEALTH MANAGEMENT PVT LTD
74,ANVIL WEALTH MANAGEMENT PVT LTD
75,APEEJAY SECURITIES PRIVATE LIMITED
76,Apollo Finvest (India) Limited
77,APOLLO SINDHOORI CAPITAL INVESTMENT LIMITED
78,Aquamarine Investment Managers LLP
79,Arcadia Share & Stock Brokers Pvt Ltd
80,ARCH FINANCE LTD
81,ARIHANT ASSET MANAGEMENT LIMITED
82,ARIHANT CAPITAL MARKETS LTD.
83,ARISTON CAPITAL SERVICES PRIVATE LIMITED
84,Arthveda Fund Management Private Limited
85,Arthya Wealth and Investments Pvt Ltd
86,ASHIKA STOCK BROKING LIMITED
87,ASHIKA STOCK BROKING LTD
88,ASHLAR SECURITIES PVT. LTD.
89,ASHLAR SECURITIES PVT. LTD.
90,Ashok Leyland Investment Services Ltd.
91,ASHWANI GUJRAL INVESTMENT & PORTFOLIO MANAGEMENT PVT. LTD.
92,ASHWANI GUJRAL INVESTMENT & PORTFOLIO MANAGEMENT PVT. LTD.
93,ASIAN MARKETS SECURITIES PRIVATE LIMITED
94,Asian Markets Securities Private Limited
95,Asit C Mehta Investment Interrmediates Ltd.
96,Asit C. Mehta Investment Interrmediates Limited
97,ASK INVESTMENT MANAGERS LIMITED
98,ASK Investment Managers Private Limited
99,ASK Property Investment Advisors Private Limited
100,ASK WEALTH ADVISORS PRIVATE LIMITED
101,ASTER BUSINESS RESEARCH PVT. LTD.
102,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED
103,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED
104,Aten Portfolio Managers Private Limited
105,ATLAS INTEGRATED FINANCE LTD
106,ATLAS INTEGRATED FINANCE LTD
107,Atman Capital Management Private Limited
108,ATS WEALTH MANAGERS PRIVATE LIMITED
109,ATS WEALTH MANAGERS PRIVATE LIMITED
110,ATS Wealth Managers Private Limited
111,AUM CAPITAL MARKET PRIVATE LIMITED
112,AUROCH INVESTMENT MANAGERS PRIVATE LIMITED
113,AVANT GARDE WEALTH MANAGEMENT PVT. LTD.
114,Avendus Capital Public Markets Alternate Strategies LLP
115,AVENDUS PE INVESTMENT ADVISORS PRIVATE LIMITED
116,Avendus Wealth Management Private Limited
117,AVENDUS WEALTH MANAGEMENT PRIVATE LTD
118,Avendus Wealth Management Private Ltd
119,Avestha Fund Management LLP
120,Avezo Advisors Private Limited
121,AVEZO ADVISORS PRIVATE LIMITED
122,Avezo Advisors Private Limited
123,Awriga Capital Advisors LLP
124,AXIS ASSET MANAGEMENT COMPANY LIMITED
125,Axis Asset Management Company Limited
126,AXIS SCEURITIES LIMITED
127,AXIS SCEURITIES LIMITED
128,BADJATE STOCK & SHARES PVT. LTD
129,Baljit Securities Private Limited
130,BANG EQUITY BROKING PVT. LTD.
131,BANHEM SECURITIES PVT. LTD.
132,Bank of Madura Ltd.
133,BANYAN CAPITAL ADVISORS PRIVATE LIMITED
134,BANYAN CAPITAL ADVISORS PRIVATE LIMITED
135,BANYAN TREE ADVISORS PRIVATE LIMITED
136,BANYAN TREE ADVISORS PRIVATE LIMITED
137,Barclays Bank Plc
138,BARCLAYS SECURITIES (INDIA) PRIVATE LIMITED
