,Manager Name,Year,Month,AUM (crs),Turnover Ratio,Return
0,2POINT2 CAPITAL ADVISORS LLP,2021,March,587.53,0.08,-5.29
1,2POINT2 CAPITAL ADVISORS LLP,2021,April,593.07,0.08,0.66
2,2POINT2 CAPITAL ADVISORS LLP,2021,May,628.64,0.05,6.62
3,2POINT2 CAPITAL ADVISORS LLP,2021,June,669.71,0.1,6.55
4,2POINT2 CAPITAL ADVISORS LLP,2021,July,729.21,0.03,9.12
5,A C CHOKSI SHARE BROKERS PRIVATE LIMITED,2021,March,55.15,0.0,-0.14
6,A C CHOKSI SHARE BROKERS PRIVATE LIMITED,2021,April,50.07,0.15,-1.34
7,A C CHOKSI SHARE BROKERS PRIVATE LIMITED,2021,May,56.37,0.06,12.67
8,A C CHOKSI SHARE BROKERS PRIVATE LIMITED,2021,June,57.93,0.02,3.28
9,A C CHOKSI SHARE BROKERS PRIVATE LIMITED,2021,July,61.91,0.01,6.92
10,A C Choksi Share Brokers Private Limited,2021,March,55.15,0.0,-0.14
11,A C Choksi Share Brokers Private Limited,2021,April,50.07,0.15,-1.34
12,A C Choksi Share Brokers Private Limited,2021,May,56.37,0.06,12.67
13,A C Choksi Share Brokers Private Limited,2021,June,57.93,0.02,3.28
14,A C Choksi Share Brokers Private Limited,2021,July,61.91,0.01,6.92
15,A. K. WEALTH MANAGEMENT PRIVATE LIMITED,2021,March,34.67,0.2,0.39
16,A. K. WEALTH MANAGEMENT PRIVATE LIMITED,2021,April,39.74,0.22,0.85
17,A. K. WEALTH MANAGEMENT PRIVATE LIMITED,2021,May,43.22,0.12,0.84
18,A. K. WEALTH MANAGEMENT PRIVATE LIMITED,2021,June,46.16,0.22,0.37
19,A. K. WEALTH MANAGEMENT PRIVATE LIMITED,2021,July,45.99,0.22,0.98
20,A. K. Wealth Management Private Limited,2021,March,34.67,0.2,0.39
21,A. K. Wealth Management Private Limited,2021,April,39.74,0.22,0.85
22,A. K. Wealth Management Private Limited,2021,May,43.22,0.12,0.84
23,A. K. Wealth Management Private Limited,2021,June,46.16,0.22,0.37
24,A. K. Wealth Management Private Limited,2021,July,45.99,0.22,0.98
25,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED,2021,March,80.13,0.0916,1.03
26,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED,2021,April,81.41,0.04674,1.4
