Date,Manager Name,AUM (crs),Turnover Ratio,Return
January 2018,INDIABULLS ASSET MANAGEMENT CO. LTD.,107.46,0.454,0.0988
January 2018,RELIANCE WEALTH MANAGEMENT LIMITED,1142.43,0.117,-0.0266
January 2018,P.C.S SECURITIES LIMITED,4.9,0.094,-0.0115
January 2018,ADITYA BIRLA MONEY LIMITED,355.14,0.158,-0.0371
January 2018,ENAM ASSET MANAGEMENT CO.PVT.LTD,15986.52,0.022,-0.0112
January 2018,CHONA FINANCIAL SERVICES PRIVATE LTD.,15.32,0.014,-0.0112
January 2018,MIV INVESTMENT SERVICES PVT. LTD.,494.92,0.126,-0.0101
January 2018,QED CAPITAL ADVISORS LLP,6.56,0.015,-0.0121999999999999
January 2018,BAY CAPITAL INVESTMENT ADVISORS PRIVATE LIMITED,78.04,0.02,-0.0096
January 2018,OHM PORTFOLIO EQUI RESEARCH PVT LTD.,137.04,0.113,-0.0086
January 2018,IDFC ASSET MANAGEMENT COMPANY LIMITED,6.22,0.288,-0.0076
January 2018,EQUITY INTELLIGENCE INDIA PVT. LTD.,1744.19,0.065,-0.0321
January 2018,ELIXIR EQUITIES PVT. LTD.,51.16,0.005,-0.0074
January 2018,SANCTUM WEALTH MANAGEMENT PRIVATE LIMITED,164.98,0.203,-0.0069999999999999
January 2018,GEOJIT FINANCIAL SERVICES LIMITED,159.08,0.011,-0.0277
January 2018,SATCO CAPITAL MARKETS LTD,20.5,0.095,-0.0087
January 2018,ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,39.06,0.0,-0.0125
January 2018,SHADE CAPITAL PRIVATE LIMITED,48.47,0.082,-0.0139
January 2018,SYSTEMATIX SHARES AND STOCKS (INDIA) LIMITED,25.54,0.329,-0.0144999999999999
January 2018,MOTILAL OSWAL ASSET MANAGEMENT COMPANY LIMITED,14504.37,0.048,-0.045
January 2018,QUEST INVESTMENT ADVISORS PVT. LTD.,2346.46,0.019,-0.0232
January 2018,CAPSTOCKS AND SECURITIES (INDIA) PRIVATE,48.93,0.095,-0.0438
January 2018,ENVISION CAPITAL SERVICES PVT.LTD.,242.49,0.038,-0.0231
January 2018,ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD,4648.17,1.844,-0.0210999999999999
January 2018,JEETAY INVESTMENTS PVT LTD,214.17,0.042,-0.0204999999999999
January 2018,UNIFI CAPITAL PRIVATE LIMITED,2903.13,0.082,-0.0197999999999999
January 2018,VALUEQUEST INVESTMENT ADVISORS PVT. LTD.,638.89,0.092,-0.0181
January 2018,KARVY STOCK BROKING LTD.,118.55,0.039,-0.0256999999999999
January 2018,ANGEL BROKING LTD.,40.52,0.025,-0.0181
January 2018,TRUSTLINE HOLDING PVT. LTD.,316.39,0.037,-0.0176
January 2018,MONEYBEE SECURITIES PRIVATE LIMITED,32.57,0.05,-0.0395999999999999
January 2018,BANYAN CAPITAL ADVISORS PRIVATE LIMITED,78.91,0.175,-0.0176
January 2018,SEERS FUND MANAGEMENT PRIVATE LIMITED,54.65,0.047,-0.0175
January 2018,IMPETUS WEALTH MANAGMENT PVT LTD,22.35,0.093,-0.0173
January 2018,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD.,3803.87,0.048,-0.0060999999999999
January 2018,KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD,3733.18,0.083,-0.0055
January 2018,ANAND RATHI ADVISORS LIMITED,123.51,0.069,-0.0038
January 2018,NEW HORIZON WEALTH MANAGEMENT PRIVATE LIMITED,1475.14,0.001,-0.0031
January 2018,PRABHUDAS LILLADHER PVT. LTD.,141.48,0.165,0.01558
January 2018,GLOBE CAPITAL MARKET LTD.,58.92,0.456,0.0171
January 2018,KB CAPITAL MARKETS PVT. LTD.,271.76,0.031,0.01941
