Date,Manager Name,AUM (crs),Turnover Ratio,Return
31-01-2018,ALTITUDE CAPITAL ADVISORS PRIVATE LIMITED,1.52,0,26
31-01-2018,ZEN WEALTH MANAGEMENT SERVICES LIMITED,72.57,0.03,11.23
31-01-2018,INDIABULLS ASSET MANAGEMENT CO. LTD.,107.46,0.454,9.88
31-01-2018,VALENTIS ADVISORS PRIVATE LIMITED,50.73,0.225,9.366
31-01-2018,LIC MUTUAL FUND ASSET MANAGEMENT LTD,1314.58,0.013,8.3
31-01-2018,IDBI CAPITAL MARKET SERVICES LTD,1826.4,0.06,7.71
31-01-2018,R. WADIWALA SECURITIES PRIVATE LIMITED,66.9,0.041,5.97
31-01-2018,Piramal Fund Management Private Limited,205.44,0.21,5.17
31-01-2018,Sharekhan Limited,31.83,0.263,4.52
31-01-2018,Laburnum Capital Advisors Private Limited,229.95,0.037,4.33
31-01-2018,CONSORTIUM SECURITIES PVT. LTD.,11.9,0,4.26
31-01-2018,MULTI-ACT EQUITY CONSULTANCY PVT LTD,528.52,0.01,3.94
31-01-2018,BANYAN TREE ADVISORS PRIVATE LIMITED,1366.4,0.025,3.8
31-01-2018,DOHA BROKERAGE AND FINANCIAL SERVICES LTD,3.13,1.29,3.39
31-01-2018,QUANTUM ADVISORS PVT.LTD.,17931.14,0.01,2.99
31-01-2018,SHEPHERDS HILL FINANCIAL ADVISORS LLP,63.92,0.034,2.96
31-01-2018,SAMVITTI CAPITAL PRIVATE LIMITED,234.81,0.301,2.94
31-01-2018,DARASHAW & COMPANY LTD,49.89,0.12,2.427
31-01-2018,ALLEGRO CAPITAL ADVISORS PVT LTD,141.32,0.032,2.394
31-01-2018,SECURITIES INVESTMENT MANAGEMENT PRIVATE LIMITED,284.65,0.064,2.297
31-01-2018,NEGEN CAPITAL SERVICES PRIVATE LIMITED,4.25,0.687,2.22
31-01-2018,O3 SECURITIES PRIVATE LIMITED,273.7,0.538,2.16
31-01-2018,STEWART & MACKERTICH WEALTH MANAGEMENT LIMITED,32.15,0.097,2.114
31-01-2018,INFINITY ALTERNATIVES INVESTMENT MANAGERS PRIVATE LIMITED,14.76,0.083,2.03
31-01-2018,KB CAPITAL MARKETS PVT. LTD.,271.76,0.031,1.941
31-01-2018,AEQUITAS INVESTMENT CONSULTANCY PRIVATE LIMITED,1219.5,0.102,1.76
31-01-2018,Asit C. Mehta Investment Interrmediates Limited,0.97,1,1.73
31-01-2018,GLOBE CAPITAL MARKET LTD.,58.92,0.456,1.71
31-01-2018,PRABHUDAS LILLADHER PVT. LTD.,141.48,0.165,1.558
31-01-2018,ANVIL WEALTH MANAGEMENT PVT LTD,545.59,0.048,1.504
31-01-2018,ESTEE ADVISORS PVT LTD.,289.23,61.14,1.46
31-01-2018,MOTILAL OSWAL WEALTH MANAGEMENT LIMITED,82.63,0.103,1.28
31-01-2018,INDIA INFOLINE LTD,6.23,0,1.17
31-01-2018,AVENDUS WEALTH MANAGEMENT PRIVATE LTD,530.08,0.063,1.067
31-01-2018,EDELWEISS ASSET MANAGEMENT LIMITED,1363.02,0.207,1.05
31-01-2018,TAURUS TREASURY MANAGEMENT SERVICES PRIVATE LIMITED,8.74,0.877,0.97
31-01-2018,EKLAVYA CAPITAL ADVISORS LLP,1.9,0.026,0.85
31-01-2018,Scient Capital Private Limited,72.78,0.178,0.84
31-01-2018,SBI FUNDS MANAGEMENT PVT LTD,1298.87,0.269,0.82
31-01-2018,KRCHOKSEY SHARES AND SECURITIES PRIVATE LIMITED,56.97,0.014,0.79
31-01-2018,WEALTH MANAGERS (INDIA) PRIVATE LIMITED,193.42,0.083,0.73
31-01-2018,AAROHAN HOLDINGS AND ADVISORS PRIVATE LIMITED,35.26,0.057,0.636
31-01-2018,OLD BRIDGE CAPITAL MANAGEMENT PVT. LTD.,1857.95,0.064,0.62
31-01-2018,KARVY CAPITAL LIMITED,337.91,0.15,0.6
31-01-2018,TAMOHARA INVESTMENT MANAGERS PRIVATE LIMITED,40.58,0.02,0.52
31-01-2018,PARAG PARIKH FINANCIAL ADVISORY SERVICES,9.07,0,0.39
31-01-2018,EMKAY INVESTMENT MANAGERS LIMITED,158.75,0.042,0.361
31-01-2018,SAMEEKSHA CAPITAL PRIVATE LIMITED,269.58,0.127,0.34
31-01-2018,Val-Q Investment Advisory Private Limited,73.63,0.065,0.299
